PC1,PC2,group,sample_id
49.28841839201866,-38.96350541728524,Normal,GSM1045191_N1_15_12_04.CEL
-23.17734660324791,-45.59734712753036,Normal,GSM1045192_N4_14_12_04.CEL
-48.683207136289106,-43.915383838687774,Normal,GSM1045193_N5_15_12_04.CEL
-32.07503359082005,-40.58459079469432,Normal,GSM1045194_N6_14_12_04.CEL
58.88138532155934,-41.972562329924365,Normal,GSM1045195_P1_15_12_04.CEL
72.98109443524697,-37.661017278393764,Normal,GSM1045196_P10_26_1_05.CEL
62.74521688564986,-37.33803499730577,Normal,GSM1045197_P11_25_1_05.CEL
61.12110498941332,-37.835461628033684,Normal,GSM1045198_P12_25_1_05.CEL
76.99127232614309,-36.60814471036528,Normal,GSM1045199_P13_25_1_05.CEL
24.342258084195674,-28.24884932821151,Normal,GSM1045200_P14_25_1_05.CEL
26.497741082851903,-32.351347164119005,Normal,GSM1045201_P18_25_1_05.CEL
75.46784532518375,-27.245214874865674,Normal,GSM1045202_P21_25_1_05.CEL
24.079555174114972,-59.7240762517033,Normal,GSM1045203_P3_22_12_04.CEL
75.35608957824027,-40.83142228732413,Normal,GSM1045204_P4_14_12_04.CEL
67.8876794881216,-40.558309222187674,Normal,GSM1045205_P5_21_12_04.CEL
39.84441110949732,-54.18884006672046,Normal,GSM1045206_P8_25_1_05.CEL
64.27215284757402,-45.860403865667664,Normal,GSM1045207_P9_25_1_05.CEL
-15.405404621554556,7.580433246640113,Tumor,GSM1045208_S1_21_12_04.CEL
-23.815426602878414,-2.724914111093261,Tumor,GSM1045209_S10_22_12_04.CEL
-26.46827822301672,-3.2875864038748617,Tumor,GSM1045210_S11_14_12_04.CEL
-46.70304939396974,-30.39231429611382,Tumor,GSM1045211_S14_21_12_04.CEL
8.358542682817456,37.391921738940205,Tumor,GSM1045212_S15_15_12_04.CEL
-21.577861379745297,-20.91543502340211,Tumor,GSM1045213_S16_20_12_04.CEL
-3.9480584874081073,-0.4901471211089393,Tumor,GSM1045214_S18_22_12_04.CEL
15.99501520938677,17.66718953524935,Tumor,GSM1045215_S2_15_12_04.CEL
17.405426063375263,29.83167949988436,Tumor,GSM1045216_S20_14_12_04.CEL
-74.48387616845169,-49.50146814828911,Tumor,GSM1045217_S22_9_12_04.CEL
2.912994022892772,31.839137747216736,Tumor,GSM1045218_S25_10_12_04.CEL
4.548483992057937,21.626901026584424,Tumor,GSM1045219_S26_10_12_04.CEL
11.453852925396589,25.39791117410952,Tumor,GSM1045220_S28_7_12_04.CEL
-46.565554712757965,-21.416545322915496,Tumor,GSM1045221_S29_10_12_04.CEL
-10.434625466242345,0.8590900149274073,Tumor,GSM1045222_S3_20_12_04.CEL
29.88892906642151,1.0488158933018856,Tumor,GSM1045223_S30_14_12_04.CEL
-21.798076131950555,13.990333066673783,Tumor,GSM1045224_S31_3_12_04.CEL
-2.090636826101843,-0.9946842580545798,Tumor,GSM1045226_S33_3_12_04.CEL
-11.966422197182847,28.661093674081723,Tumor,GSM1045227_S35_8_12_04.CEL
-15.724664794129122,1.6909091546397885,Tumor,GSM1045228_S36_20_12_04.CEL
0.8990478275239019,9.086812374408897,Tumor,GSM1045229_S37_8_12_04.CEL
22.979521010118596,33.39094261927714,Tumor,GSM1045230_S38_10_12_04.CEL
2.6973340345224655,36.962944419141294,Tumor,GSM1045231_S5_15_12_04.CEL
-13.968330674080374,0.2727433840793565,Tumor,GSM1045233_S7_14_12_04.CEL
17.551332311833416,33.196214412051376,Tumor,GSM1045234_T1_14_12_04.CEL
5.0608925085509675,28.72843186419361,Tumor,GSM1045235_T10_8_12_04.CEL
10.004879600820114,-3.8949846998892794,Tumor,GSM1045236_T101A_9_12_04.CEL
4.14825596640901,15.687660630742414,Tumor,GSM1045237_T103_9_12_04.CEL
-1.8549256288880724,15.438756047198869,Tumor,GSM1045238_T104_9_12_04.CEL
12.481897611722227,14.367459141957431,Tumor,GSM1045239_T105B.CEL
-10.34492565280105,-18.699516201781538,Tumor,GSM1045240_T106_21_12_04.CEL
-14.764685499658134,-0.5702320748390413,Tumor,GSM1045241_T107_7_12_04.CEL
-25.915654135545275,3.6420425368132077,Tumor,GSM1045242_T108_21_12_04.CEL
-36.145925538233875,-31.71341326852837,Tumor,GSM1045243_T109_21_12_04.CEL
-36.25637373824827,-10.664085701203573,Tumor,GSM1045244_T11_21_12_04.CEL
5.954338291864963,3.49515277285422,Tumor,GSM1045245_T111_14_12_04.CEL
-4.312982164025853,14.235663072474559,Tumor,GSM1045246_T112_3_12_04.CEL
4.559975514844897,24.491526241880997,Tumor,GSM1045247_T113_22_12_04.CEL
8.771174370104598,37.81644860785296,Tumor,GSM1045248_T114_7_12_04.CEL
-2.8400955849933402,14.386738099997814,Tumor,GSM1045249_T115_15_12_04.CEL
-33.25448712061911,7.111939141168829,Tumor,GSM1045250_T119_8_12_04.CEL
4.096858673223096,-0.1565035802507725,Tumor,GSM1045251_T12_22_12_04.CEL
35.519351455153135,-3.265173589835956,Tumor,GSM1045252_T120_10_12_04.CEL
-4.027096106186332,28.296806502137528,Tumor,GSM1045253_T122_9_12_04.CEL
-7.93638989916145,21.070166079937767,Tumor,GSM1045254_T123_14_12_04.CEL
-28.56029447495469,-17.181402843483017,Tumor,GSM1045255_T124_25_1_05.CEL
-19.818012813678024,17.00923749593752,Tumor,GSM1045257_T127_8_12_04.CEL
8.904271284273149,16.901186966781,Tumor,GSM1045258_T128_22_12_04.CEL
-25.936925717862014,-11.207108851740507,Tumor,GSM1045259_T129_20_12_04.CEL
-1.9432066381879654,20.148611339265777,Tumor,GSM1045260_T13_9_12_04.CEL
15.585488275744162,40.05959012901354,Tumor,GSM1045261_T130_8_12_04.CEL
1.9044680792651223,26.12246808054977,Tumor,GSM1045262_T131_22_12_04.CEL
-18.069790246284835,13.778787822351902,Tumor,GSM1045263_T132.CEL
-6.777750745304045,21.262627083900114,Tumor,GSM1045264_T134_7_12_04.CEL
9.048607826458685,12.507791648616676,Tumor,GSM1045265_T14_21_12_04.CEL
6.503143419419991,5.315025061942275,Tumor,GSM1045266_T18_22_12_04.CEL
-6.369513736991381,-4.7052147383747975,Tumor,GSM1045267_T2_7_12_04.CEL
16.551676997660312,29.797832759081466,Tumor,GSM1045268_T20_20_12_04.CEL
11.761403045606016,35.8865766340862,Tumor,GSM1045271_T23_9_12_04.CEL
12.496841053737224,36.99567183999628,Tumor,GSM1045272_T24_10_12_04.CEL
9.726769124367584,32.57816807961047,Tumor,GSM1045273_T29_14_12_04.CEL
-31.755854115335236,11.001981424230657,Tumor,GSM1045274_T30_8_12_04.CEL
5.864079064035529,30.252736451606477,Tumor,GSM1045275_T32_3_12_04.CEL
-19.46779589393906,-1.8733999593862154,Tumor,GSM1045276_T33_3_12_04.CEL
-13.968016050650116,-16.240392180904003,Tumor,GSM1045278_T35_3_12_04.CEL
4.25107062546409,-8.740397411675774,Tumor,GSM1045279_T36_15_12_04.CEL
7.594584390766085,-17.694855564169078,Tumor,GSM1045280_T38_25_1_05.CEL
-0.7066032474170285,26.770209067281005,Tumor,GSM1045281_T39_14_12_04.CEL
-34.2458355978524,-16.488999644816644,Tumor,GSM1045282_T40_9_12_04.CEL
1.398308630823492,11.138541532083863,Tumor,GSM1045283_T41_20_12_04.CEL
-11.016849925342855,20.704631656926114,Tumor,GSM1045284_T43_9_12_04.CEL
-19.8466081917025,-15.956808772044377,Tumor,GSM1045285_T45_7_12_04.CEL
-7.38122043577055,5.192907952741097,Tumor,GSM1045286_T47_20_12_04.CEL
4.935402090064415,7.015737665922407,Tumor,GSM1045287_T49_10_12_04.CEL
-67.0648590500573,-61.34861152679009,Tumor,GSM1045288_T5_10_12_04.CEL
13.95698592297008,4.844960914853971,Tumor,GSM1045289_T51_7_12_04.CEL
16.06967916802127,2.6558981825395147,Tumor,GSM1045290_T52_15_12_04.CEL
1.526633793432352,20.07789755124869,Tumor,GSM1045291_T56_15_12_04.CEL
-6.722554807032066,7.891417087547953,Tumor,GSM1045292_T62_26_1_05.CEL
-25.411950846612438,-8.405248179648527,Tumor,GSM1045293_T63_22_12_04.CEL
-4.461703293875835,2.7602541711760855,Tumor,GSM1045294_T65_20_12_04.CEL
3.0234116892040723,-13.116626807577473,Tumor,GSM1045295_T66_25_1_05.CEL
12.631297931450527,33.15134242960539,Tumor,GSM1045296_T67_7_12_04.CEL
-4.88938195092143,20.96364651316331,Tumor,GSM1045297_T69_15_12_04.CEL
15.96902640085403,25.64960488980989,Tumor,GSM1045298_T70_21_12_04.CEL
-22.18996176217153,2.4794888020982,Tumor,GSM1045299_T71_14_12_04.CEL
-33.260497500294846,6.354544381711746,Tumor,GSM1045300_T72_14_12_04.CEL
-46.668286183326046,-49.383662833126365,Tumor,GSM1045301_T73_15_12_04.CEL
-81.21841076100185,-58.89169444999684,Tumor,GSM1045302_T75.CEL
-5.074150096506614,5.782518359483224,Tumor,GSM1045303_T80_14_12_04.CEL
-0.8707714630822856,13.594669102882088,Tumor,GSM1045304_T81_10_12_04.CEL
-27.67365457436733,7.587120715549273,Tumor,GSM1045305_T82_15_12_04.CEL
-0.8601998602438975,2.9570681909639767,Tumor,GSM1045306_T83_8_12_04.CEL
