probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr,abs_diff
gene_9493,4.219049899722201,2.9492665342691247,1.2697833654530761,10.489766559667379,1.9461519299089532e-16,4.9576650937067756e-14,9493,KIF23,13.30472281457258,1.2697833654530761
gene_3609,7.438955832562204,6.474391785063661,0.9645640474985431,13.167406076685072,2.7677519447238666e-16,6.678730465744205e-14,3609,ILF3,13.17530608305151,0.9645640474985431
gene_10336,5.689294857861217,4.918970049004757,0.7703248088564596,13.08070962420146,2.8754822823262373e-16,6.678730465744205e-14,10336,PCGF3,13.17530608305151,0.7703248088564596
gene_3980,4.874424612994362,4.354707150693062,0.5197174623013003,10.649365534060845,2.817312194621465e-16,6.678730465744205e-14,3980,LIG3,13.17530608305151,0.5197174623013003
gene_10535,6.836318404189053,5.758746207440806,1.077572196748247,10.556620292011171,3.1293728641082824e-16,7.060759287960888e-14,10535,RNASEH2A,13.151148594013259,1.077572196748247
gene_5050,8.35378293453681,5.594473804208787,2.759309130328022,15.14764666606463,3.3545946851590496e-16,7.35867617463917e-14,5050,PAFAH1B3,13.133200308184383,2.759309130328022
gene_9055,7.159191782184692,4.629549323383005,2.5296424588016873,12.800053760735992,4.30979107857253e-16,9.198491931753316e-14,9055,PRC1,13.036283368241753,2.5296424588016873
gene_51466,8.288133939627237,6.411823727367117,1.8763102122601198,10.524201314687563,4.668285139159207e-16,9.701433616826384e-14,51466,EVL,13.013164083685119,1.8763102122601198
gene_9645,5.7633631263607175,4.579716786908332,1.1836463394523857,12.625615845103788,4.957700844290593e-16,1.0038708607016107e-13,9645,MICAL2,12.998322151824391,1.1836463394523857
gene_5437,9.173548732105516,8.165262220334705,1.0082865117708106,12.407669539046701,6.821165955259779e-16,1.3466686887171617e-13,5437,POLR2H,12.870739237506548,1.0082865117708106
