probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr
gene_9493,4.219049899722201,2.9492665342691247,1.2697833654530761,10.489766559667379,1.9461519299089532e-16,4.9576650937067756e-14,9493,KIF23,13.30472281457258
gene_10535,6.836318404189053,5.758746207440806,1.077572196748247,10.556620292011171,3.1293728641082824e-16,7.060759287960888e-14,10535,RNASEH2A,13.151148594013259
gene_5050,8.35378293453681,5.594473804208787,2.759309130328022,15.14764666606463,3.3545946851590496e-16,7.35867617463917e-14,5050,PAFAH1B3,13.133200308184383
gene_9055,7.159191782184692,4.629549323383005,2.5296424588016873,12.800053760735992,4.30979107857253e-16,9.198491931753316e-14,9055,PRC1,13.036283368241753
gene_51466,8.288133939627237,6.411823727367117,1.8763102122601198,10.524201314687563,4.668285139159207e-16,9.701433616826384e-14,51466,EVL,13.013164083685119
gene_9645,5.7633631263607175,4.579716786908332,1.1836463394523857,12.625615845103788,4.957700844290593e-16,1.0038708607016107e-13,9645,MICAL2,12.998322151824391
gene_5437,9.173548732105516,8.165262220334705,1.0082865117708106,12.407669539046701,6.821165955259779e-16,1.3466686887171617e-13,5437,POLR2H,12.870739237506548
gene_26504,6.121254071668325,4.954139808816181,1.1671142628521443,12.038917492730024,9.695007863813547e-16,1.867353100013063e-13,26504,CNNM4,12.72877355302692
gene_29028,5.772500415620172,4.476022250628756,1.2964781649914157,11.023206072123552,1.4063900648098732e-15,2.582851707396179e-13,29028,ATAD2,12.58790052782139
gene_131578,5.426146939509944,4.180639682243729,1.2455072572662145,11.91634985844373,3.3039223289713698e-15,5.352212178448056e-13,131578,LRRC15,12.271466678105961
gene_9727,6.031958669650338,4.886816969583713,1.1451417000666249,13.078006314942039,3.3209876756230814e-15,5.352212178448056e-13,9727,RAB11FIP3,12.271466678105961
gene_80279,8.58671008108732,7.551955764537367,1.0347543165499529,11.174561600116057,4.718676748681077e-15,7.452678056866894e-13,80279,CDK5RAP3,12.127687639154306
